time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,visibility,precipType,cloudCoverError,precipIntensityError,precipProbabilityError,precipAccumulation,pressureError,temperatureError,windSpeedError,windBearingError,uvIndex,ozone
2017-06-05T04:00:00Z,Clear,clear-night,0,0,63.46,63.46,56.23,0.77,1007.79,0.23,0.44,102,0,9.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-05T05:00:00Z,Clear,clear-night,0,0,61.79,61.79,56.2,0.82,1007.32,0.66,0.83,50,0,9.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-05T06:00:00Z,Clear,clear-night,0,0,61.34,61.34,56.67,0.85,1007.25,1.39,2.8,51,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-05T07:00:00Z,Clear,clear-night,0,0,61.54,61.54,57.21,0.86,1007.59,2.25,3.05,49,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-05T08:00:00Z,Clear,clear-night,0,0,60.54,60.54,57.14,0.89,1007.84,2.49,3.67,59,0.05,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-05T09:00:00Z,Clear,clear-night,0,0,59.25,59.25,56.31,0.9,1007.54,1.21,1.43,63,0.18,9.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-05T10:00:00Z,Clear,clear-night,0,0,57.84,57.84,55.24,0.91,1008.06,0.56,0.72,64,0.19,8.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-05T11:00:00Z,Clear,clear-day,0,0,57.31,57.31,54.77,0.91,1007.99,0.76,0.97,46,0.24,4.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-05T12:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,60.01,60.01,57.41,0.91,1008.44,1.92,2.35,33,0.63,5.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-05T13:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,62.12,62.16,58.49,0.88,1009.36,2.87,4.06,49,0.69,7.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-05T14:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,62.98,62.98,58.08,0.84,1010.31,3.59,5.08,51,0.86,8.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-05T15:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,64.84,64.84,58.22,0.79,1010.64,4.62,6.87,47,0.86,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-05T16:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,66.32,66.32,57.75,0.74,1011.06,4.15,6.72,51,0.86,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-05T17:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,66.13,66.13,56.88,0.72,1011.37,4.85,7.67,43,0.86,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-05T18:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,66.3,66.3,56.26,0.7,1011.53,5.28,8.3,36,0.86,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
