id,chapter_name,motif_name,notes,level,chapter_id,level_0,level_1,level_2,level_3,level_4,level_5,level_6
A0,Myths,Creator,"--For a general bibliography of creation myths, see Alexander N. Am. 278 n. 15. For bibliographies of North American Indian mythologies arranged by areas, see Thompson Tales 272 n. 1; **Feilberg Skabelses og Syndflodssagn; Jewish: Neuman. --Mexican Indian: (Tarascan) Alexander Lat. Am. 85, (Zapotecan) ibid. 87; Guarayú: Métraux RMLP XXXIII 147; Polynesia: Dixon 21 n. 47; Hawaiian: Beckwith Myth 42; Mono-Alu: Wheeler 28, 66f., 70; Easter Is.: Métraux BMB CLX 313; Marshall Is.: Davenport Folk Tales 221f.; Tahiti: Henry Ancient Tahiti 335ff.; New Hebrides: Codrington II 365. --Armenian: Ananikian 20; African: Werner African 127ff., **Frobenius and Fox, (Loango): Pechuël-Loesche 267; Hindu: Penzer I 10; Buddhist myth: Malalasekera II 338; Icel.: Boberg, MacCulloch Eddic 326; Irish myth: Cross.",0,A,A0,A0,A0,NA,NA,NA,NA
A1.1,Myths,Sun-God As Creator,--Egyptian: Müller 69; Persian: Carnoy 260.,3,A,A0,A0,A1,A1.1,NA,NA,NA
A1.2,Myths,Grandfather As Creator,"--S. Am. Indian (Paressi): Métraux BBAE CXLIII (3) 359, (Guarayú): Métraux RMLP XXXIII 147.",3,A,A0,A0,A1,A1.2,NA,NA,NA
A1.3,Myths,Stone-Woman As Creator,--Paressi: Métraux BBAE CXLIII (3) 359.,3,A,A0,A0,A1,A1.3,NA,NA,NA
A1.4,Myths,Brahma As Creator,--Buddhist myth: Malalasekera II 338.,3,A,A0,A0,A1,A1.4,NA,NA,NA
A1,Myths,Identity Of Creator,NA,2,A,A0,A0,A1,NA,NA,NA,NA
A2.1,Myths,Three Creators,"--Icel.: Boberg, MacCulloch Eddic 327. --Oceanic: Dixon 24; Hawaii: Beckwith Myth 42.",3,A,A0,A0,A2,A2.1,NA,NA,NA
A2.2,Myths,First Human Pair As Creators,(Cf. †A1270.) Chinese: Eberhard FFC CXX 115 No. 70.,3,A,A0,A0,A2,A2.2,NA,NA,NA
A2,Myths,Multiple Creators,NA,2,A,A0,A0,A2,NA,NA,NA,NA
A3,Myths,Creative Mother Source Of Everything,--India: Thompson-Balys.,2,A,A0,A0,A3,NA,NA,NA,NA
A5.1,Myths,Gods Make Earth To Have Place To Rest Their Feet,--Hawaiian: Beckwith Myth 43.,3,A,A0,A0,A5,A5.1,NA,NA,NA
A5,Myths,Reason For Creation,NA,2,A,A0,A0,A5,NA,NA,NA,NA
A7.1,Myths,Creator Has Two Sons,--Guarayú: Métraux RMLP XXXIII 147.,3,A,A0,A0,A7,A7.1,NA,NA,NA
A7,Myths,Creator's Descendants,(Cf. †A32.),2,A,A0,A0,A7,NA,NA,NA,NA
A10,Myths,Nature Of The Creator,--India: Thompson-Balys.,1,A,A0,A10,A10,NA,NA,NA,NA
A11.1,Myths,"Invisibility Of Creator Learned From The Impossibility Of Staring At The Sun, His Servant",--Jewish: Neuman.,3,A,A0,A10,A11,A11.1,NA,NA,NA
A11,Myths,Invisible Creator,--Jewish: Neuman. --Ackawoi: Alexander Lat. Am. 269.,2,A,A0,A10,A11,NA,NA,NA,NA
A12.1,Myths,Male And Female Creators,Japanese: Anesaki 222; Hawaii: Henry Ancient Tahiti 345.,3,A,A0,A10,A12,A12.1,NA,NA,NA
A12,Myths,Hermaphroditic Creator,"The creator is half man and half woman or is thought of as both male and female. --*Lang Myth I 200f., 299; Güntert 324. --Greek: Eisler 396; Egyptian: Maspéro Histoire ancienne des peuples de l'Orient classique 141; Indian (Hindu): Keith 75. --Aztec: Alexander Lat. Am. 88.",2,A,A0,A10,A12,NA,NA,NA,NA
A13.1.1,Myths,Cow As Creator,"*Schröder Altgermanische Kulturprobleme 132; *Güntert Weltkönig 365ff. --Icel.: MacCulloch Eddic 63, 324.",4,A,A0,A10,A13,A13.1,A13.1.1,NA,NA
A13.1,Myths,Beast As Creator,NA,3,A,A0,A10,A13,A13.1,NA,NA,NA
A13.2.1,Myths,Raven As Creator,Eskimo: Nelson RBAE XVIII 454; Koryak: Jochelson JE VI 218.,4,A,A0,A10,A13,A13.2,A13.2.1,NA,NA
A13.2.2,Myths,Eagle As Creator Of Man,Calif. Indian: Gayton and Newman 94.,4,A,A0,A10,A13,A13.2,A13.2.2,NA,NA
A13.2.3,Myths,Black-Winged Bird As Creator,Greek: Fox 4.,4,A,A0,A10,A13,A13.2,A13.2.3,NA,NA
A13.2,Myths,Bird As Creator,Hawaii: Henry Ancient Tahiti 345.,3,A,A0,A10,A13,A13.2,NA,NA,NA
A13.3.1,Myths,Spider As Creator,India: Thompson-Balys.,4,A,A0,A10,A13,A13.3,A13.3.1,NA,NA
A13.3.2,Myths,Beetle As Creator,S. Am. Indian (Lengua): Métraux BBAE CXLIII (1) 367.,4,A,A0,A10,A13,A13.3,A13.3.2,NA,NA
A13.3,Myths,Insect As Creator,NA,3,A,A0,A10,A13,A13.3,NA,NA,NA
A13.4.1,Myths,Snake As Creator,"Mono-Alu, Fauru, Buin: Wheeler 67.",4,A,A0,A10,A13,A13.4,A13.4.1,NA,NA
A13.4.2,Myths,Worm As Creator,Guarayú: Métraux BBAE CXLIII (3) 437.,4,A,A0,A10,A13,A13.4,A13.4.2,NA,NA
A13.4,Myths,Reptile As Creator,NA,3,A,A0,A10,A13,A13.4,NA,NA,NA
A13,Myths,Animal As Creator,NA,2,A,A0,A10,A13,NA,NA,NA,NA
A15.1.1,Myths,Old Woman As Creator,Lepers Is.: Codrington II 372f.,4,A,A0,A10,A15,A15.1,A15.1.1,NA,NA
A15.1,Myths,Female Creator,Chibcha: Kroeber BBAE CXLIII (2) 908.,3,A,A0,A10,A15,A15.1,NA,NA,NA
A15.2,Myths,Brothers As Creators,S. Am. Indian (Guaporé River): Levi-Strauss BBAE CXLIII (3) 379.,3,A,A0,A10,A15,A15.2,NA,NA,NA
A15.3.1,Myths,Old Man With Staff As Creator,(Cf. †A1.2.). Inca: Rowe BBAE CXLIII (2) 316.,4,A,A0,A10,A15,A15.3,A15.3.1,NA,NA
A15.3,Myths,Old Man As Creator,NA,3,A,A0,A10,A15,A15.3,NA,NA,NA
A15.4.1,Myths,Potter As Creator,India: Thompson-Balys.,4,A,A0,A10,A15,A15.4,A15.4.1,NA,NA
A15.4,Myths,Artisan As Creator,NA,3,A,A0,A10,A15,A15.4,NA,NA,NA
A15,Myths,Human Creator,NA,2,A,A0,A10,A15,NA,NA,NA,NA
A17,Myths,Angel As Creator,Jewish: Neuman.,2,A,A0,A10,A17,NA,NA,NA,NA
A18.1,Myths,Creator With Dragon's Head,Chinese: Werner 77.,3,A,A0,A10,A18,A18.1,NA,NA,NA
A18.2,Myths,Creator With Two Horns On Head,Chinese: Werner 76.,3,A,A0,A10,A18,A18.2,NA,NA,NA
A18.3,Myths,Dwarfish Creator,Chinese: Werner 76.,3,A,A0,A10,A18,A18.3,NA,NA,NA
A18.4,Myths,Creator Clothed In Bear-Skin (Or In Leaves),Chinese: Werner 76.,3,A,A0,A10,A18,A18.4,NA,NA,NA
A18.5,Myths,Creator With Hammer And Chisel In Hands,Chinese: Werner 76.,3,A,A0,A10,A18,A18.5,NA,NA,NA
A18.6,Myths,Creator With Sun And Moon In Hands,Chinese: Werner 76.,3,A,A0,A10,A18,A18.6,NA,NA,NA
A18,Myths,Pictorial Representations Of Creator,NA,2,A,A0,A10,A18,NA,NA,NA,NA
A19.1,Myths,Sun And Moon (Man And Wife) As Creators,S. Am. Indian: (Cashibo) Steward-Métraux BBAE CXLIII (3) 594.,3,A,A0,A10,A19,A19.1,NA,NA,NA
A19.2,Myths,Creator With Appearance Of Negro,Africa (Luba): Danohugh V 180.,3,A,A0,A10,A19,A19.2,NA,NA,NA
A19,Myths,Nature Of Creator -- Miscellaneous,NA,2,A,A0,A10,A19,NA,NA,NA,NA
A20,Myths,Origin Of The Creator,NA,1,A,A0,A20,A20,NA,NA,NA,NA
A21.1,Myths,Woman Who Fell From The Sky,"-- Daughter of the sky-chief falls from the sky, is caught by birds, and lowered to the surface of the water. She becomes the creator. --*Iroquois: Thompson Tales n.27. --Cf. Finnish: Kalevala rune 1.",3,A,A0,A20,A21,A21.1,NA,NA,NA
A21.2,Myths,Old Man From Sky As Creator,-- Old man with his wife comes from the sky. Are the first couple on earth. Have seven sons and seven daughters. Each son marries a daughter. --Ekoi: Talbot 366.,3,A,A0,A20,A21,A21.2,NA,NA,NA
A21,Myths,Creator From Above,NA,2,A,A0,A20,A21,NA,NA,NA,NA
A22,Myths,Creator Comes Out Of Chaos,"Chinese: Werner 76, Ferguson 57.",2,A,A0,A20,A22,NA,NA,NA,NA
A23,Myths,Creator Offspring Of Dual Powers Of Nature,(Male and female principles.) --Chinese: Werner 76.,2,A,A0,A20,A23,NA,NA,NA,NA
A25.1,Myths,Creator Emerges From Lake,"S. Am. Indian (Chibcha): Kroeber BBAE CXLIII (2) 908, (Aymara): Tschopik BBAE CXLIII (2) 570.",3,A,A0,A20,A25,A25.1,NA,NA,NA
A25,Myths,Creator From Below,God rises from beneath (the center of the spiritual world) and creates the world. --Hottentot: Bleek 74 No. 35.,2,A,A0,A20,A25,NA,NA,NA,NA
A26.1,Myths,Creator Comes From East,Africa (Luba): Donahugh V 80.,3,A,A0,A20,A26,A26.1,NA,NA,NA
A26,Myths,Creator Comes From Certain Direction,NA,2,A,A0,A20,A26,NA,NA,NA,NA
A27,Myths,Creator Born From Egg,Chinese: Eberhard FFC CXX 98f.,2,A,A0,A20,A27,NA,NA,NA,NA
A30,Myths,Creator's Companions,Inca: Rowe BBAE CXLIII (2) 315; Tahiti: Henry 342; Hawaii: Beckwith Myth 45.,1,A,A0,A30,A30,NA,NA,NA,NA
A31,Myths,Creator's Grandmother,Casually mentioned in the course of the creation myth. --American Indian: *Thompson Tales 275 n. 13.,2,A,A0,A30,A31,NA,NA,NA,NA
A32.1,Myths,Creator's Son,India: Thompson-Balys. --S. Am. Indian: (Chibcha): Kroeber BBAE CXLIII (2) 908.,3,A,A0,A30,A32,A32.1,NA,NA,NA
A32.2,Myths,Creator's Daughter,India: Thompson-Balys.,3,A,A0,A30,A32,A32.2,NA,NA,NA
A32.3.1,Myths,Creator's Wife Seduced By His Son,S. Am. Indian (Munderucú): Horton BBAE CXLIII (3) 281.,4,A,A0,A30,A32,A32.3,A32.3.1,NA,NA
A32.3.2,Myths,Creator Beats His Wife While Intoxicated From Beverage He Invents,S. Am. Indian (Guarayú): Métraux RMLP XXXIII 147.,4,A,A0,A30,A32,A32.3,A32.3.2,NA,NA
A32.3,Myths,Creator's Wife,India: Thompson-Balys. --S. Am. Indian (Munderucú): Horton BBAE CXLIII (3) 281.,3,A,A0,A30,A32,A32.3,NA,NA,NA
A32,Myths,Creator's Family,(Cf. †A7.),2,A,A0,A30,A32,NA,NA,NA,NA
A33.1.1,Myths,Creator's Dog,"The creator is accompanied by a dog (Cf. †A63.4.). --*Dh I 98--111 passim, especially 108. --Hawaii: Beckwith Myth 347. --Kato: Goddard UCal V 183ff.",4,A,A0,A30,A33,A33.1,A33.1.1,NA,NA
A33.1,Myths,Beast As Creator's Companion,NA,3,A,A0,A30,A33,A33.1,NA,NA,NA
A33.2,Myths,Bird As Creator's Companion,"India: Thompson-Balys; Sumatra: Dixon 160; Samoa, Tonga: ibid. *164 n. 33, 34.",3,A,A0,A30,A33,A33.2,NA,NA,NA
A33.3.1,Myths,Bee As God's Spy,"God, the creator, sends a bee to overhear the devil's secrets. --*Dh I 3, 127ff.",4,A,A0,A30,A33,A33.3,A33.3.1,NA,NA
A33.3,Myths,Insect As Creator's Companion,NA,3,A,A0,A30,A33,A33.3,NA,NA,NA
A33.4.1,Myths,Armadillo As Creator's Companion,S. Am. Indian (Munderucú): Horton BBAE CXLIII (3) 281.,4,A,A0,A30,A33,A33.4,A33.4.1,NA,NA
A33.4,Myths,Other Animal Companions Of Creator,NA,3,A,A0,A30,A33,A33.4,NA,NA,NA
A33,Myths,Animal As Creator's Companion,India: Thompson-Balys.,2,A,A0,A30,A33,NA,NA,NA,NA
A36,Myths,"Creator's Companions: Unicorn, Phoenix, Tortoise, And Dragon",Chinese: Werner 76.,2,A,A0,A30,A36,NA,NA,NA,NA
A37.1,Myths,Falcon And Crow As Joint Creators,Calif. Indian: Gayton and Newman 54.,3,A,A0,A30,A37,A37.1,NA,NA,NA
A37,Myths,Joint Creators,NA,2,A,A0,A30,A37,NA,NA,NA,NA
A38.1,Myths,Creator's Companions: Sun And Moon,Jewish: Neuman.,3,A,A0,A30,A38,A38.1,NA,NA,NA
A38,Myths,Heavenly Bodies As Creator's Companions,NA,2,A,A0,A30,A38,NA,NA,NA,NA
A40,Myths,Creator's Advisers,Jewish: Neuman.,1,A,A0,A40,A40,NA,NA,NA,NA
A41,Myths,Men As God's Advisers,*Dh I 3.,2,A,A0,A40,A41,NA,NA,NA,NA
A42.1.1,Myths,God Consults Two Angels On Creation,Jewish: Neuman.,4,A,A0,A40,A42,A42.1,A42.1.1,NA,NA
A42.1,Myths,Seraphim As Creator's Advisers,Jewish: Neuman.,3,A,A0,A40,A42,A42.1,NA,NA,NA
A42.2,Myths,God Consults Mercy On His Right And Justice On His Left,Jewish: Neuman.,3,A,A0,A40,A42,A42.2,NA,NA,NA
A42,Myths,Angels As God's Advisers,"Dh I 3, 31ff., 55, 187; Jewish: Neuman.",2,A,A0,A40,A42,NA,NA,NA,NA
A43,Myths,Devil As Adviser Of God,"*Dh I 2f., 6, 12, 28, 31, 42, 44, 127ff., 144, 240, 388. --Siberian: Holmberg Siberian 313ff.",2,A,A0,A40,A43,NA,NA,NA,NA
A44,Myths,Tora As God's Adviser,Jewish: Neuman.,2,A,A0,A40,A44,NA,NA,NA,NA
A45,Myths,Souls Of Pious As Creator's Advisers,Jewish: Neuman.,2,A,A0,A40,A45,NA,NA,NA,NA
A50.1,Myths,Creation Of Angels And Devils,Jewish: Neuman.,3,A,A0,A50,A50,A50.1,NA,NA,NA
A50,Myths,Conflict Of Good And Evil Creators,"*Dh I 1--89 passim, 172ff. --Jewish: Neuman; India: Thompson-Balys; Persian: Carnoy 261f., 275. --Banks Island: Dixon 106.",1,A,A0,A50,A50,NA,NA,NA,NA
A51,Myths,Creation Of Devil(S),(Cf. †A63).,2,A,A0,A50,A51,NA,NA,NA,NA
A52.0.1,Myths,Angels Created To Execute God's Will,Jewish: Neuman.,NA,A,A0,A50,A52,A52.0.1,A52.0.1,NA,NA
A52.0.2,Myths,Degraded Gods Become Angels,Jewish: Neuman.,NA,A,A0,A50,A52,A52.0.2,A52.0.2,NA,NA
A52.0.3,Myths,Angels Existed Prior To Creation,Jewish: Neuman.,NA,A,A0,A50,A52,A52.0.3,A52.0.3,NA,NA
A52.0.4,Myths,Angels Are Transformed Souls Of The Pious,Jewish: Neuman.,NA,A,A0,A50,A52,A52.0.4,A52.0.4,NA,NA
A52.0.5,Myths,Angels Created From Three Elements,Jewish: Neuman.,NA,A,A0,A50,A52,A52.0.5,A52.0.5,NA,NA
A52.0.6,Myths,Angels Created From Words Uttered By God,Jewish: Neuman.,NA,A,A0,A50,A52,A52.0.6,A52.0.6,NA,NA
A52.0.7,Myths,God Drops Water From His Finger And The Drops Become Angels,Lucifer imitated God and created devils. --Lithuanian: Balys Legends No. 2.,NA,A,A0,A50,A52,A52.0.7,A52.0.7,NA,NA
A52.0.8,Myths,God Created Angels By Striking One Small Stone With Another,"Lucifer created devils by imitation.Lithuanian: Balys Legends Nos. 1, 3.",NA,A,A0,A50,A52,A52.0.8,A52.0.8,NA,NA
A52.1.1,Myths,Angel Of Death Created By God,Jewish: Neuman.,4,A,A0,A50,A52,A52.1,A52.1.1,NA,NA
A52.1.2,Myths,Angel Michael Created From Fire,Jewish: Neuman.,4,A,A0,A50,A52,A52.1,A52.1.2,NA,NA
A52.1.3,Myths,Angel Gabriel Created From Snow,Jewish: Neuman.,4,A,A0,A50,A52,A52.1,A52.1.3,NA,NA
A52.1.4,Myths,Angel Raphael Created From Water,Jewish: Neuman.,4,A,A0,A50,A52,A52.1,A52.1.4,NA,NA
A52.1.5,Myths,Angel Of Destruction Created From Hail And Fire,Jewish: Neuman.,4,A,A0,A50,A52,A52.1,A52.1.5,NA,NA
A52.1,Myths,Creation Of Individual Angels,NA,3,A,A0,A50,A52,A52.1,NA,NA,NA
A52.2.1,Myths,Angels Created On First Day Of Creation,Jewish: Neuman.,4,A,A0,A50,A52,A52.2,A52.2.1,NA,NA
A52.2.2,Myths,Angels Created On Second Day Of Creation,Jewish: Neuman.,4,A,A0,A50,A52,A52.2,A52.2.2,NA,NA
A52.2.3,Myths,Angels Created On Third Day Of Creation,Jewish: Neuman.,4,A,A0,A50,A52,A52.2,A52.2.3,NA,NA
A52.2.4,Myths,"Archangels Created On First, Angels On Third Day Of Creation",Jewish: Neuman.,4,A,A0,A50,A52,A52.2,A52.2.4,NA,NA
A52.2.5,Myths,Angels Created On Fifth Day With Other Winged Creatures,Jewish: Neuman.,4,A,A0,A50,A52,A52.2,A52.2.5,NA,NA
A52.2,Myths,Time Of Creation Of The Angels,NA,3,A,A0,A50,A52,A52.2,NA,NA,NA
A52.3,Myths,"Material Of Which Angels Are Created (Fire, Water And Snow)",Jewish: Neuman.,3,A,A0,A50,A52,A52.3,NA,NA,NA
A52,Myths,Creation Of Angels,NA,2,A,A0,A50,A52,NA,NA,NA,NA
A54.1,Myths,Angel Of Sea Rebels At World's Creation; Put To Death By God,Jewish: Neuman.,3,A,A0,A50,A54,A54.1,NA,NA,NA
A54,Myths,Rebel Angels,NA,2,A,A0,A50,A54,NA,NA,NA,NA
A60,Myths,Marplot At Creation,"An evil opponent attempts to undo or mar the work of the creator. --Jewish: Neuman; Siberian: Holmberg Siberian 315f. --Borneo: Dixon 170; Melanesian: *Codrington JAI X 293; Hawaii: Beckwith Myth 45. --S. Am. Indian (Toba, Mataco): Métraux BBAE CXLIII (1) 368f. --India: *Thompson-Balys.",1,A,A0,A60,A60,NA,NA,NA,NA
A61,Myths,Coyote As Marplot At Creation,*Thompson Tales 285 n. 52.,2,A,A0,A60,A61,NA,NA,NA,NA
A63.1,Myths,Devil Works During God's Sleep At Creation,"*Dh I 2, 42f., 55, 60, 102, 115ff.; India: Thompson-Balys.",3,A,A0,A60,A63,A63.1,NA,NA,NA
A63.2,Myths,Devil Plans To Drown God At Time Of Creation,*Dh I 184f. --Lithuanian: Balys Index 3005; Balys Legends No. 11.,3,A,A0,A60,A63,A63.2,NA,NA,NA
A63.3,Myths,Devil And God Wrestle At Time Of Creation,*Dh I 184f.,3,A,A0,A60,A63,A63.3,NA,NA,NA
A63.4.1,Myths,God And The Devil Torment Each Other With Their Creations,Devil pesters God with gnats. God makes a fire and safeguards himself; God plagues the devil with fleas. Devil is unable to find means of protecting himself. --Lithuanian: Balys Index 3082; Balys Legends No. 131ff.,4,A,A0,A60,A63,A63.4,A63.4.1,NA,NA
A63.4,Myths,Devil And God Create Animals,Wolf created as God's dog. The devil creates goats to destroy things. --BP III 199 (Gr. No. 148); Dh I 127--205 passim.,3,A,A0,A60,A63,A63.4,NA,NA,NA
A63.5.1,Myths,Satan Seduces Adam To Sin Because He Is Jealous Of Him,Jewish: Neuman.,4,A,A0,A60,A63,A63.5,A63.5.1,NA,NA
A63.5,Myths,Lucifer Causes Fall Of Man,Irish Myth: Cross; Jewish: Neuman.,3,A,A0,A60,A63,A63.5,NA,NA,NA
A63.6,Myths,Devil In Serpent Form Tempts First Woman (Satan And Eve),Jewish: Neuman. --India: Thompson-Balys.,3,A,A0,A60,A63,A63.6,NA,NA,NA
